year,month,day,latitude,longitude
2014,04,17,37.5689,54.0192
2014,04,17,36.1852,43.75
2014,04,17,35.9838,43.7652
2014,04,17,35.6859,43.8728
2014,04,17,35.0031,43.4939
2014,04,17,34.897,43.8051
2014,04,17,31.6888,47.4524
2014,04,17,31.6783,47.4332
2014,04,17,31.2385,48.9901
2014,04,17,31.2765,48.732
2014,04,17,31.0439,49.3912
2014,04,17,31.1426,47.8741
2014,04,17,30.9677,48.5848
2014,04,17,30.961,48.5832
2014,04,17,31.082,47.6255
2014,04,17,30.9925,48.1568
2014,04,17,31.0622,47.621
2014,04,17,31.0304,47.2808
2014,04,17,31.0291,47.2888
2014,04,17,31.0238,47.2793
2014,04,17,31.0225,47.2874
2014,04,17,30.3954,50.6217
2014,04,17,30.8856,47.3326
2014,04,17,30.8798,47.3328
2014,04,17,30.3913,49.859
2014,04,17,30.8257,47.3291
2014,04,17,30.7496,47.6638
2014,04,17,30.2959,50.0913
2014,04,17,30.7651,47.3256
2014,04,17,30.1534,50.4232
2014,04,17,30.6898,47.3256
2014,04,17,30.6885,47.3336
2014,04,17,30.0415,50.6379
2014,04,17,30.6086,47.3259
2014,04,17,30.5287,47.6007
2014,04,17,30.5703,47.3091
2014,04,17,30.569,47.3172
2014,04,17,30.561,47.3237
2014,04,17,30.5597,47.3318
2014,04,17,30.4871,47.609
2014,04,17,30.5638,47.101
2014,04,17,30.4954,47.31
2014,04,17,30.418,47.6104
2014,04,17,30.3673,47.6343
2014,04,17,30.366,47.6424
2014,04,17,30.4036,47.333
2014,04,17,30.3612,47.3403
2014,04,17,30.3546,47.3389
2014,04,17,30.2658,47.7139
2014,04,17,30.3129,47.3475
2014,04,17,30.2838,47.3577
2014,04,17,30.2825,47.3658
2014,04,17,30.2772,47.3562
2014,04,17,30.2758,47.3643
2014,04,17,30.2172,47.3945
2014,04,17,30.2106,47.3931
2014,04,17,30.1735,47.4099
2014,04,17,30.1655,47.4165
2014,04,17,29.8157,47.762
2014,04,17,28.578,47.9189
2014,04,17,26.852,55.8556
2014,04,17,27.5599,52.5666
2014,04,17,27.5122,52.6219
2014,04,17,27.4977,52.6474
2014,04,17,27.1486,49.2142
2014,04,17,27.1468,49.2236
2014,04,17,27.0195,49.5816
2014,04,17,23.3077,54.1739
2014,04,17,23.3063,54.1807
2014,04,17,24.1086,49.1444
2014,04,17,22.9271,53.8703
2014,04,17,56.6356,161.315
2014,04,17,15.3982,46.787
2014,04,17,6.17826,125.508
2014,04,17,4.65449,114.446
2014,04,17,6.89019,124.402
2014,04,17,5.67409,116.458
2014,04,17,7.14979,124.733
2014,04,17,5.7509,115.979
2014,04,17,8.72066,117.378
2014,04,17,9.6488,118.695
2014,04,17,10.8291,123.137
2014,04,17,11.516,123.076
2014,04,17,11.8251,119.969
2014,04,17,11.789,109.047
2014,04,17,14.191,120.99
2014,04,17,14.2789,120.861
2014,04,17,14.6104,121.381
2014,04,17,14.7055,121.298
2014,04,17,14.7122,121.297
2014,04,17,14.7486,121.224
2014,04,17,14.962,121.248
2014,04,17,15.3017,121.078
2014,04,17,15.2159,120.421
2014,04,17,13.6585,108.707
2014,04,17,13.8309,108.58
2014,04,17,14.291,108.753
2014,04,17,14.2987,108.753
2014,04,17,14.6539,108.643
2014,04,17,14.6762,108.615
2014,04,17,14.7926,108.659
2014,04,17,14.7883,108.639
2014,04,17,17.342,121.849
2014,04,17,17.4122,121.689
2014,04,17,17.443,121.58
2014,04,17,17.51,121.843
2014,04,17,17.5268,121.685
2014,04,17,17.8044,121.69
2014,04,17,18.0306,121.176
2014,04,17,18.1691,121.375
2014,04,17,18.1667,121.138
2014,04,17,15.6272,107.513
2014,04,17,15.6241,107.499
2014,04,17,18.2073,121.005
2014,04,17,15.6297,107.508
2014,04,17,15.6267,107.494
2014,04,17,18.2934,121.035
2014,04,17,18.4097,121.045
2014,04,17,9.11728,-79.1623
2014,04,17,8.6483,-82.371
2014,04,17,9.02489,-80.1208
2014,04,17,8.71085,-82.3462
2014,04,17,9.25355,-79.3339
2014,04,17,9.24024,-79.7753
2014,04,17,9.28426,-79.5321
2014,04,17,10.8341,-72.6991
2014,04,17,10.8332,-72.7058
2014,04,17,10.8824,-74.6785
2014,04,17,11.2266,-72.968
2014,04,17,11.6191,-70.2187
2014,04,17,11.7398,-70.1955
2014,04,17,9.79205,-84.6145
2014,04,17,9.88325,-85.4452
2014,04,17,10.0637,-84.7788
2014,04,17,10.0625,-84.7859
2014,04,17,10.1536,-84.7849
2014,04,17,10.1524,-84.792
2014,04,17,10.197,-84.9249
2014,04,17,10.14,-85.36
2014,04,17,10.2297,-85.7913
2014,04,17,10.2804,-85.651
2014,04,17,10.3429,-85.5401
2014,04,17,10.5045,-85.1226
2014,04,17,10.5033,-85.1301
2014,04,17,10.4344,-85.6363
2014,04,17,10.5471,-85.0687
2014,04,17,10.5458,-85.0762
2014,04,17,10.5446,-85.0837
2014,04,17,10.4552,-85.6158
2014,04,17,10.5469,-85.0691
2014,04,17,10.5456,-85.0766
2014,04,17,10.5443,-85.084
2014,04,17,10.451,-85.6149
2014,04,17,10.5577,-85.0552
2014,04,17,10.5564,-85.0628
2014,04,17,10.5551,-85.0704
2014,04,17,10.5538,-85.0779
2014,04,17,10.5525,-85.0853
2014,04,17,10.5672,-85.0485
2014,04,17,10.5659,-85.0563
2014,04,17,10.6303,-85.2197
2014,04,17,10.6288,-85.219
2014,04,17,10.6501,-85.4883
2014,04,17,10.6487,-85.4961
2014,04,17,10.7878,-84.8247
2014,04,17,10.7957,-84.8261
2014,04,17,10.6978,-85.4087
2014,04,17,10.7009,-85.4411
2014,04,17,10.7039,-85.4098
2014,04,17,10.7025,-85.4175
2014,04,17,10.7067,-85.4422
2014,04,17,10.8399,-84.724
2014,04,17,10.8381,-84.7344
2014,04,17,10.722,-85.4526
2014,04,17,10.7401,-85.4962
2014,04,17,10.7567,-85.4494
2014,04,17,10.7663,-85.4434
2014,04,17,10.7649,-85.4513
2014,04,17,10.9836,-84.3968
2014,04,17,11.0337,-84.3632
2014,04,17,10.9234,-85.1071
2014,04,17,10.9222,-85.1142
2014,04,17,11.0792,-84.2806
2014,04,17,10.9928,-84.8439
2014,04,17,10.991,-84.8544
2014,04,17,11.0848,-84.3417
2014,04,17,11.0025,-84.8349
2014,04,17,10.999,-84.8558
2014,04,17,11.0974,-84.3134
2014,04,17,11.0958,-84.3234
2014,04,17,11.0104,-84.8363
2014,04,17,10.9819,-85.0067
2014,04,17,11.1051,-84.315
2014,04,17,11.0184,-84.8377
2014,04,17,11.1111,-84.314
2014,04,17,10.9988,-85.106
2014,04,17,11.15,-84.2708
2014,04,17,11.0809,-84.6765
2014,04,17,10.954,-85.4126
2014,04,17,11.1346,-84.4084
2014,04,17,11.1139,-84.5778
2014,04,17,11.1121,-84.588
2014,04,17,11.0967,-84.6792
2014,04,17,10.9218,-85.6963
2014,04,17,11.1778,-84.2461
2014,04,17,11.1062,-84.6704
2014,04,17,11.1045,-84.6805
2014,04,17,11.1818,-84.3159
2014,04,17,11.2069,-84.2601
2014,04,17,11.1744,-84.4553
2014,04,17,11.2016,-84.3393
2014,04,17,11.1822,-84.4566
2014,04,17,11.031,-85.3586
2014,04,17,11.0298,-85.3659
2014,04,17,11.0393,-85.3599
2014,04,17,11.038,-85.3673
2014,04,17,11.0367,-85.3748
2014,04,17,11.2182,-84.3195
2014,04,17,11.0375,-85.3592
2014,04,17,11.0362,-85.3666
2014,04,17,11.0349,-85.374
2014,04,17,11.2192,-84.3598
2014,04,17,11.0571,-85.2953
2014,04,17,11.2419,-84.2732
2014,04,17,11.2403,-84.283
2014,04,17,11.059,-85.3328
2014,04,17,11.2589,-84.2662
2014,04,17,11.0572,-85.4402
2014,04,17,11.0559,-85.4479
2014,04,17,11.273,-84.2292
2014,04,17,11.2714,-84.2386
